date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:32	184/184	---MCZ	200	added ('OK')	text/plain	etag:W/%226523c4e2-202%22	https://www.lissonpackaging.com/robots.txt		(from )
20:50:32	136455/136455	---MCZ	200	added ('OK')	text/html	etag:W/%226523d85e-21507%22	https://www.lissonpackaging.com/	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/index.html	(from )
20:50:33	3913/3913	---M--	200	added ('OK')	image/jpeg	etag:%22Fv08ecoaNs-cHG-7k6l-garYKyM9%22	https://img4360.weyesimg.com/uploads/d4rc73ua.allweyes.com/images/15312965672824.jpg	D:/rzcode/My%20Websites/p/img4360.weyesimg.com/uploads/d4rc73ua.allweyes.com/images/15312965672824.jpg_;%20filename_=utf-8''15312965672824.jpg	(from https://www.lissonpackaging.com/)
20:50:33	23665/23665	---M--	200	added ('OK')	image/png	etag:%22FqrnNmtifo55ptRQvFvPkne0qy0P%22	https://img4360.weyesimg.com/uploads/d4rc73ua.allweyes.com/images/15311244812873.png	D:/rzcode/My%20Websites/p/img4360.weyesimg.com/uploads/d4rc73ua.allweyes.com/images/15311244812873.png_;%20filename_=utf-8''15311244812873.png	(from https://www.lissonpackaging.com/)
20:50:34	6842/6842	---MCZ	200	added ('OK')	image/png	etag:W/%225d087e2e-1aba%22	https://www.lissonpackaging.com/templates/public4/assets/images/app-logo.png	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/images/app-logo.png	(from https://www.lissonpackaging.com/)
20:50:34	213698/213698	---MCZ	200	added ('OK')	text/css	etag:W/%2264dde6a3-342c2%22	https://www.lissonpackaging.com/templates/public4/assets/css/base.css?v=1692264099	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/css/basea8c8.css	(from https://www.lissonpackaging.com/)
20:50:34	739/739	---MCZ	200	added ('OK')	text/css	etag:W/%2264dde6a3-2e3%22	https://www.lissonpackaging.com/templates/public4/assets/css/font/Montserrat.css?v=1692264099	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/css/font/Montserrata8c8.css	(from https://www.lissonpackaging.com/)
20:50:34	370208/370208	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264bdd858-5a620%22	https://www.lissonpackaging.com/templates/public4/assets/js/base.js?v=1690163288	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/js/base4a8d.js	(from https://www.lissonpackaging.com/)
20:50:34	9861/9861	---MCZ	200	added ('OK')	text/css	etag:W/%225d676c98-2685%22	https://www.lissonpackaging.com/templates/public4/assets/css/widget/header/public_header_57.css?v=1567059096	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/css/widget/header/public_header_57d667.css	(from https://www.lissonpackaging.com/)
20:50:35	8052/8052	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0dbfea-1f74%22	https://www.lissonpackaging.com/templates/public4/assets/js/widget/header/public_header_57.js?v=1577959402	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/js/widget/header/public_header_57280f.js	(from https://www.lissonpackaging.com/)
20:50:36	37406/37406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Oct%202023%2012:50:36%20GMT	https://www.lissonpackaging.com/%22https://img4360.weyesimg.com/uploads/www.lissonpackaging.com/images/15464202504241.jpg%22	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/_https_/img4360.weyesimg.com/uploads/www.lissonpackaging.com/images/15464202504241.jpg_	(from https://www.lissonpackaging.com/)
20:50:36	8426/8426	---M--	200	added ('OK')	image/webp	etag:%22AHHHbt93FHS0kxLMxR1Y9eT-iK3M%22	https://img4360.weyesimg.com/uploads/d4rc73ua.allweyes.com/images/15311244812873.png?imageView2/2/w/1920/h/160/q/75/format/webp	D:/rzcode/My%20Websites/p/img4360.weyesimg.com/uploads/d4rc73ua.allweyes.com/images/15311244812873a67a.png	(from https://www.lissonpackaging.com/)
20:50:36	774/774	---MCZ	200	added ('OK')	image/png	etag:W/%225d087e2e-306%22	https://www.lissonpackaging.com/templates/public4/assets/images/flag/ko.png	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/templates/public4/assets/images/flag/ko.png	(from https://www.lissonpackaging.com/)
20:50:37	103811/103811	---MCZ	200	added ('OK')	text/html	etag:W/%226520b57a-19583%22	https://www.lissonpackaging.com/customization	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/customization.html	(from https://www.lissonpackaging.com/)
20:50:37	70418/70418	---MCZ	200	added ('OK')	text/html	etag:W/%226520c2c8-11312%22	https://www.lissonpackaging.com/green-packaging	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/green-packaging.html	(from https://www.lissonpackaging.com/)
20:50:37	127344/127344	---MCZ	200	added ('OK')	text/html	etag:W/%226520b105-1f170%22	https://www.lissonpackaging.com/product	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/product.html	(from https://www.lissonpackaging.com/)
20:50:37	123617/123617	---MCZ	200	added ('OK')	text/html	etag:W/%226520c3fd-1e2e1%22	https://www.lissonpackaging.com/new-arrival	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/new-arrival.html	(from https://www.lissonpackaging.com/)
20:50:38	96874/96874	---MCZ	200	added ('OK')	text/html	etag:W/%226520bda5-17a6a%22	https://www.lissonpackaging.com/sugarcane-tubes	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/sugarcane-tubes.html	(from https://www.lissonpackaging.com/)
20:50:38	123498/123498	---MCZ	200	added ('OK')	text/html	etag:W/%226520cede-1e26a%22	https://www.lissonpackaging.com/pcr-tube	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/pcr-tube.html	(from https://www.lissonpackaging.com/)
20:50:38	127239/127239	---MCZ	200	added ('OK')	text/html	etag:W/%226520b63d-1f107%22	https://www.lissonpackaging.com/aluminium-tubes	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/aluminium-tubes.html	(from https://www.lissonpackaging.com/)
20:50:38	121029/121029	---MCZ	200	added ('OK')	text/html	etag:W/%226520cee1-1d8c5%22	https://www.lissonpackaging.com/tube	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/tube.html	(from https://www.lissonpackaging.com/)
20:50:38	127557/127557	---MCZ	200	added ('OK')	text/html	etag:W/%226520c504-1f245%22	https://www.lissonpackaging.com/classified-by-usage	D:/rzcode/My%20Websites/p/www.lissonpackaging.com/classified-by-usage.html	(from https://www.lissonpackaging.com/)
